url,date,false_claim
https://www.antifake.ro/fact-checking-ul-saptamanii-imagini-din-2022-cu-trupe-americane-sosind-pe-aeroportul-mihail-kogalniceanu-utilizate-pentru-a-promova-stiri-false-despre-criza-din-orientul-mijlociu/,2023-11-08,The US is sending troops in Israel.
https://rus.delfi.ee/statja/120014880/pravda-li-chto-k-flagu-lgbt-dobavili-cveta-ukrainskogo-flaga,2022-06-02,Ukraine flag’s colors have been added to the LGBTQ+ rainbow flag.
https://www.newtral.es/comunicado-trump-twitter/20221102/,2023-04-20,Donald Trump's public statement congratulating Elon Musk on buying Twitter and announcing his readmission starting October 31st.
https://dpa-factchecking.com/germany/231019-99-625920/,2023-10-20,"Images and videos are showing current violence against civilians in Gaza, such as portraying Palestinian victims."
https://poligrafo.sapo.pt/fact-check/esta-imagem-de-julian-assange-partilhada-viralmente-nas-redes-sociais-e-autentica,2023-04-07,Image shows Julian Assange in jail.
https://facta.news/notizia-falsa/2024/05/14/karine-jean-pierre-casa-bianca-ucraina-nazismo-hitler-stalin/,2024-05-14,A White House spokesperson discussed why the US supports Nazism in Ukraine.
https://factuel.afp.com/doc.afp.com.33LV4CW,2024-04-17,Videos and images showing riots in France after the death of Nahel Merzouk.
https://www.newtral.es/la-foto-de-la-torre-de-el-cairo-con-la-bandera-de-palestina-es-falsa/20231010/,2023-10-11,"Images shows international support for Palestine, such as Palestinian flags on monuments and in stadiums."
https://www.factchecker.gr/2023/10/29/images-dont-show-staged-rescue-of-young-girls-in-gaza/,2023-10-29,Crisis actors are portrayed as interpreting Palestinian victims of Israeli violence showing staged rescues.
https://www.newtral.es/ataque-hospital-kiev/20240711/,2024-07-11,The rocket that struck the Okhmatdyt hospital in Kiev was fired by Ukrainian anti-aircraft artillery.
https://factcheck.afp.com/doc.afp.com.327R8KF,2024-04-17,The horrific scenes recorded in Bucha were staged by Ukrainian forces.
https://faktantarkistus.afp.com/doc.afp.com.32EY6PA,2024-04-17,Videos and pictures shows the protests of anti-government farmers in the Netherlands.
https://edmo.eu/2022/12/06/died-suddenly-yet-another-conspiracy-video-about-covid-19-vaccines-reigniting-disinformation-with-the-same-old-hoaxes/,2022-12-06,The documentary “Died Suddenly” shows that COVID-19 vaccines increase mortality.
https://ru.rebaltica.lv/archives/4042,2022-04-22,The missile that hit Kramatorsk reflects Ukraine's responsibility.
https://verificat.afp.com/doc.afp.com.327P9M2,2024-04-17,Ukrainian forces were involved in the Rohyric scenes recorded in Bucha.
https://www.antifake.ro/fact-checking-ul-saptamanii-imagine-trucata-despre-bombardamentele-din-ucraina-si-atribuita-in-mod-fals-bbc/,2022-04-06,Western media are spreading false news and images regarding the war.
https://demagog.org.pl/fake_news/ostrzal-szpitala-w-mariupolu-byl-ustawka-fake-news/,2022-03-14,Mariupol’s hospital was not bombed by Russia; the attack was staged by Ukrainian forces.
https://www.15min.lt/naujiena/aktualu/lietuva/rusai-bega-bet-i-kita-puse-35-km-eile-i-suomija-susidare-ne-del-mobilizacijos-56-1936952,2022-09-26,Video showing Russians in a 35 km queue at Finland border after Putin’s announcement.
https://factuel.afp.com/doc.afp.com.34699WT,2024-04-17,"The European Medicine Agency (EMA) stated that nobody under age 60 should have been vaccinated against Covid-19, along with other 'shocking' revelations."
https://factuel.afp.com/doc.afp.com.34Q94NB,2024-04-29,Cloud seeding has caused climate change resulting in flooding in Dubai.
https://www.francetvinfo.fr/monde/proche-orient/israel-palestine/guerre-a-gaza-pourquoi-l-onu-a-reevalue-le-nombre-de-femmes-et-d-enfants-palestiniens-tues-depuis-le-debut-du-conflit_6545498.html,2024-05-15,The UN halved the estimate of Palestinian children and women killed in Gaza.
https://factcheck.afp.com/doc.afp.com.33E28BA,2024-04-17,Coating used to distribute certain fruits and vegetables without packaging is harmful.
https://www.tjekdet.dk/faktatjek/kamala-harris-saettes-i-forbindelse-med-kontroversiel-forbryder,2024-07-22,Images of Kamala Harris were circulated showing her hugging Jeffrey Epstein.
https://proveri.afp.com/doc.afp.com.327P8L2,2024-04-17,Victims in the Ukraine war are actually actors.
https://facta.news/antibufale/2023/04/28/drone-ucraino-mosca/,2023-04-28,Video was recorded by a Ukrainian drone over Red Square in Moscow.
https://rus.delfi.ee/statja/120273877/pravdivy-li-eti-video-zatopleniya-britanskogo-sudna-rubymar-posle-ataki-husitov,2024-02-28,Video was showing rockets fired by Houthi forces against US navy ships.
https://factuel.afp.com/doc.afp.com.33996L9,2024-04-17,The February earthquake in Turkey was caused by HAARP technology.
https://www.faktisk.no/artikler/jn2wr/falske-beviser-for-at-zelenskyj-er-narkoman,2022-04-28,Zelensky is using cocaine.
https://fakty.afp.com/doc.afp.com.329C4BN,2024-04-17,Volodymyr Zelensky is Nazi and drug addict.
https://rus.delfi.ee/statja/120293602/pravda-li-chto-franciya-otpravila-v-ukrainu-soldat-inostrannogo-legiona,2024-05-16,"Images, videos, and other content are falsely exaggerating the escalation of the conflict in Ukraine with direct involvement of the West/NATO."
https://nieuwscheckers.nl/rode-temperatuurkaarten-in-het-weerbericht-zijn-niet-van-recente-datum/,2022-07-22,Weather maps are being manipulated to exaggerate climate change.
https://factchecknederland.afp.com/doc.afp.com.33HR48M,2024-04-17,The Arc de Triomphe in Paris was decorated with a large rainbow installation to celebrate Pride.
https://www.knack.be/factcheck/factcheck-nee-deze-video-toont-geen-voedselhulp-aan-gaza-die-wordt-weggegooid/,2024-01-31,Videos and images depicting humanitarian aid for Gaza being destroyed or dumped in the desert.
https://poligrafo.sapo.pt/fact-check/papa-francisco-passeia-com-casaco-puffer-comprido-e-branco,2023-03-26,"Images show Pope Francis in a puffy, bright white coat."
https://www.newtral.es/cnn-periodista-muerto-ucrania-afganistan/20220308/,2023-03-24,Western media spread false news about the war in Ukraine.
https://www.knack.be/factcheck/factcheck-nee-dit-filmpje-toont-geen-joodse-kinderen-in-palestijnse-kooien/,2023-10-19,A video allegedly showing children kidnapped by Hamas during the October 7 attack is disseminated.
https://demagog.org.pl/fake_news/korek-na-granicy-z-finlandia-film-powstal-przed-mobilizacja/,2022-09-26,Russians creating a long queue at the Finland border following Putin's announcement of partial mobilization.
https://facta.news/notizia-falsa/2022/03/01/no-in-ucraina-non-ci-sono-laboratori-biomilitari-gestiti-dagli-stati-uniti/,2022-03-01,Ukraine hosts secret US bio-labs.
https://www.newtral.es/video-biden-silla-fake/20240610/,2024-06-10,Joe Biden attempted to sit on an invisible chair during the D-Day anniversary celebration.
https://www.antifake.ro/fact-checking-ul-saptamanii-videoclip-fabricat-si-atribuit-in-mod-fals-publicatiei-usa-today-despre-un-oficial-ucrainean-care-ar-fi-provocat-o-altercatie-intr-un-bar-din-new-york/,2023-10-05,USA Today reported a fight involving the Ukrainian delegation in New York.
https://facta.news/notizia-falsa/2022/06/16/in-australia-non-sara-rilasciato-un-vaccino-in-cielo-tramite-scie-chimiche/,2022-06-16,Chemtrails have been used/will be used in different countries to spread vaccines from the sky.
https://poligrafo.sapo.pt/fact-check/comissao-europeia-recomenda-aos-seus-funcionarios-que-desejem-boas-festas-em-vez-de-bom-natal,2023-12-27,The EU Commission prohibited the use of the term 'Christmas'.
https://verifica.efe.com/detenidos-atentado-moscu-no-checheno-lucha-ucrania/,2024-03-27,One of the terrorists arrested for the Moscow attack is a Chechen commander who fought against Russia in Ukraine.
https://www.rtve.es/noticias/20220719/bulos-manipulaciones-ola-calor-espana/2389545.shtml,2022-07-19,Weather maps are being manipulated to exaggerate climate change.
https://demagog.org.pl/fake_news/directed-energy-weapon-podpa,2023-08-29,Maui wildfires in Hawaii were caused by Directed Energy Weapons.
https://epl.delfi.ee/artikkel/120192264/faktikontroll-andmed-ei-naita-radioaktiivsuse-kasvu-vaited-tuumapommi-kohta-ukrainas-on-valed,2023-05-23,A radioactive cloud is moving toward Western Europe after Russia struck a shipment of ammunition containing depleted uranium supplied by the UK to Ukraine.
https://facta.news/fuori-contesto/2022/11/10/video-brogli-midterm-usa/,2022-11-10,False information alleging electoral scams in the U.S. midterm elections.
https://www.faktisk.no/artikler/0gp8p/nei-russland-angriper-ikke-amerikanske-laboratorier-i-ukraina,2022-03-02,Ukraine hosts secret US bio-labs
https://demagog.org.pl/fake_news/zamach-na-trumpa-to-ustawka-brak-dowodow-na-spisek/,2024-07-16,The attack on Donald Trump in Pennsylvania was staged.
https://www.15min.lt/naujiena/aktualu/pasaulis/adolfo-hitlerio-zydiskos-kilmes-misles-atsakyma-senele-nusinese-i-kapus-57-1675110,2022-05-06,"Hitler had Jewish origins, a claim made by Lavrov."
https://mailchi.mp/thejournal/theres-no-going-back-august-factcheck-631230,2022-05-17,"The massacre in Uvalde, Texas, was carried out by a transgender woman."
https://factuel.afp.com/doc.afp.com.32G974J,2024-04-17,Videos show Italian farmers in Piedmont protesting against the government.
https://correctiv.org/faktencheck/2022/03/18/ukraine-mariupol-nein-diese-fotos-verletzter-frauen-belegen-keinen-inszenierten-angriff/,2022-03-18,The attack in Ukraine was staged by Ukrainian forces.
https://tenykerdes.afp.com/doc.afp.com.328K3T6,2024-04-17,Russia's invasion of Ukraine is portrayed as a 'proxy war' with NATO aggression.
https://demagog.org.pl/fake_news/hamowanie-transmisji-czy-pfizer-musial-to-sprawdzic-w-badaniu/,2022-10-20,A Pfizer executive admitted improper testing of COVID-19 vaccines.
https://rus.delfi.ee/statja/120255407/pravda-li-chto-na-foto-shosse-v-germanii-perekrytoe-iz-za-razryadivshihsya-v-moroz-elektromobiley,2023-12-14,A picture allegedly showing electric cars in Germany blocked by the cold.
https://nieuwscheckers.nl/deze-foto-is-geen-bewijs-dat-zelensky-zijn-videos-in-scene-zet-met-behulp-van-green-screens/,2022-10-13,Claim that photos and a video of Ukrainian President Volodymyr Zelensky standing in front of a green screen prove his videos are filmed in a studio.
https://verifica.efe.com/proyecto-haarp-inundaciones-dubai-lluvias-falso/,2024-04-23,False claims that the recent violent flooding in Dubai was caused by the HAARP project.
https://napravoumiru.afp.com/doc.afp.com.32GB43E,2024-04-17,The World Economic Forum (WEF) calls to end ‘wasteful’ private car ownership.
https://www.knack.be/factcheck/factcheck-video-met-cocaine-op-bureau-van-zelensky-is-fake/,2022-04-27,Videos/images/news that demonstrate use of cocaine by Zelensky.
