,url,content_dec
0,https://sputnikglobe.com//20231014/us-needs-bold-new-leadership-amid-perfect-storm-of-crises-1114187940.html,
1,https://sputnikglobe.com//20230113/us-aviation-authority-blames-recent-flight-meltdown-on-personnel-who-failed-to-follow-procedures-1106267372.html,
2,https://sputnikglobe.com//20220711/us-intel-supplies-kiev-with-satellite-images-to-target-civilians-in-russia-rahdit-hackers-say-1097168460.html,
3,https://sputnikglobe.com//20231109/nato-admits-lack-of-production-capacity-to-meet-ukraines-requests-1114847363.html,
4,https://sputnikglobe.com//20220803/killing-of-ayman-al-zawahiri-pelosi-in-taiwan-polio-in-nyc-wastewater-and-the-burn-pits-bill-1098050296.html,
5,https://sputnikglobe.com//20230617/de-dollarization-becoming-reality-amid-potential-brics-expansion-1111225375.html,
6,https://sputnikglobe.com//20241206/french-mayor-says-heritage-must-be-protected-after-russian-monuments-demolished-in-ukraine-1121107115.html,
7,https://sputnikglobe.com//20220531/us-china-reportedly-eyeing-face-to-face-meeting-between-top-defense-officials-amid-taiwan-row-1095886430.html,
8,https://sputnikglobe.com//20230913/ukraine-merely-pretends-to-strive-for-peace---russian-foreign-ministry-1113339234.html,
9,https://sputnikglobe.com//20240715/orban-hands-over-to-eu-plan-for-resolving-ukraine-conflict-1119379045.html,
10,https://sputnikglobe.com//20230223/delivery-of-us-abrams-tanks-to-ukraine-may-take-up-to-1-year-or-more---army-secretary-1107750806.html,
11,https://sputnikglobe.com//20220903/traffic-via-bosphorus-strait-suspended-as-vessel-en-route-from-istanbul-to-ukraine-breaks-down-1100331227.html,
12,https://sputnikglobe.com//20220301/moscow-considers-unacceptable-behavior-of-us-ii-giants-conducting-anti-russian-propaganda-1093482944.html,
13,https://sputnikglobe.com//20241215/scholz-rules-out-coalition-with-wagenknecht-at-federal-level-1121172495.html,
14,https://sputnikglobe.com//20220228/ukraine-solution-possible-only-if-russias-security-interests-are-considered-putin-tells-macron-1093454515.html,
15,https://sputnikglobe.com//20230622/eu-transfers-to-ukraine-another-16bln-in-financial-assistance--von-der-leyen-1111394543.html,
16,https://sputnikglobe.com//20241108/ukraine-responsible-for-cyberattacks-on-russias-healthcare-facilities--russian-un-envoy-1120824892.html,
17,https://sputnikglobe.com//20220321/russian-court-bans-facebook-instagram-for-extremism-1094057301.html,
18,https://sputnikglobe.com//20240322/russia-carried-out-49-retaliatory-strikes-in-response-ukraines-shelling---defense-ministry-1117486370.html,
19,https://sputnikglobe.com//20231004/can-ukraine-conflict-spiral-into-wwiii-1113913095.html,
20,https://sputnikglobe.com//20221107/if-midterm-elections-held-fairly-gop-likely-to-win--markets-will-go-up-analyst-says-1103869213.html,
21,https://sputnikglobe.com//20250104/heroic-russian-serviceman-recounts-hand-to-hand-fight-to-the-death-with-enemy-ukrainian---1121350405.html,
22,https://sputnikglobe.com//20220524/biden-pours-more-money-into-ukraine-as-he-eyes-conflict-with-china-1095725826.html,
23,https://sputnikglobe.com//20230215/seymour-hersh-only-6-out-of-8-bombs-planted-under-nord-stream-pipelines-were-detonated-1107443240.html,
24,https://sputnikglobe.com//20241216/putin-us-fuels-ukraine-conflict-by-sending-mercenaries-and-military-advisers-1121192292.html,
25,https://sputnikglobe.com//20231023/ukraine-receives-9th-tranche-of-financial-aid-from-eu-worth-16bln-1114435443.html,
26,https://sputnikglobe.com//20241119/atacms-and-gmlrs-maximum-range-and-possible-threat-to-russia-1120932284.html,
27,https://sputnikglobe.com//20220415/brics-countries-express-concern-over-serious-impacts-of-unilateral-sanctions-against-russia-1094780580.html,
28,https://sputnikglobe.com//20220225/russian-mod-large-amount-of-weapons-supplied-by-west-to-ukraine-has-been-seized-1093374079.html,
29,https://sputnikglobe.com//20220927/the-cuckoo-of-kiev-brit-lvov-rat-evicts-aggressive-refugee-lover-he-dumped-wife-and-kids-for-1101265219.html,
30,https://sputnikglobe.com//20231006/russian-spetsnaz-operator-explains-how-drones-are-changing-modern-warfare-1113985689.html,
31,https://sputnikglobe.com//20240618/zelenskys-peace-summit-disappoints-as-battlefield-setbacks-continue-1118999801.html,
32,https://sputnikglobe.com//20230115/egypt-ready-to-host-global-grain-storage-center-foreign-minister-says-1106333953.html,
33,https://sputnikglobe.com//20240602/saudi-arabia-will-not-attend-peace-conference-on-ukraine-as-russia-is-not-invited-1118748900.html,
34,https://sputnikglobe.com//20240407/western-economies-fall-off-ranking-of-russias-top-5-trade-partners-and-into-recession-1117798383.html,
35,https://sputnikglobe.com//20241009/delayed-ramstein-meeting-speaks-volumes-about-zelensky-regimes-failure--ex-pentagon-analyst-1120490770.html,
36,https://sputnikglobe.com//20230522/iaea-head-says-situation-with-nuclear-safety-at-znpp-extremely-unstable-1110512608.html,
37,https://sputnikglobe.com//20230115/uk-politician-slams-sunak-over-tanks-for-kiev-says-its-wrong-to-prop-up-corrupt-zelensky-regime-1106342953.html,
38,https://sputnikglobe.com//20240312/russia-informs-opcw-about-ukraines-plans-to-commit-terrorist-attack---envoy-1117287867.html,
39,https://sputnikglobe.com//20220503/biden-picks-us-army-gen-cavoli-to-be-new-commander-of-nato-forces-in-europe-pentagon-says--1095240452.html,
40,https://sputnikglobe.com//20231116/surprise-pentagon-fails-audit-for-sixth-year-in-a-row-1115011103.html,
41,https://sputnikglobe.com//20230911/how-us-could-turn-india-middle-east-europe-economic-corridor-into-destabilizing-tool-1113290474.html,
42,https://sputnikglobe.com//20220607/oil-refinery-ceo-warns-of-us-destruction-unless-biden-boosts-domestic-crude-output-1096095097.html,
43,https://sputnikglobe.com//20230901/examination-shows-russian-bmp-3-level-above-us-trophy-bradley-ifv-1113036475.html,
44,https://sputnikglobe.com//20220920/russian-military-hardware-effectively-countering-western-weapons-in-ukraine-putin-says-1101005093.html,
45,https://sputnikglobe.com//20240314/watch-annihilation-of-ukrainian-saboteurs-who-dared-approach-russian-border-1117328895.html,
46,https://sputnikglobe.com//20220507/live-updates-russian-mod-says-operation-to-evacuate-civilians-from-azovstal-concluded-1095339172.html,
47,https://sputnikglobe.com//20220304/why-is-the-west-silent-about-ukrainian-neo-nazi-movements-azov-battalion--bandera-legacy-1093561142.html,
48,https://sputnikglobe.com//20221108/election-night-in-america-omar-navarro-talks-latest-bid-against-longtime-democrat-maxine-waters-1103914904.html,
